250 cards

Card 1
	Ticket 1: 
_,10,22,35,_,_,_,75,80
_,11,28,_,47,54,_,78,_
9,_,_,39,48,_,66,_,83
	Ticket 2: 
_,_,22,33,41,_,62,75,_
_,14,26,_,47,52,_,76,_
_,_,_,39,48,56,_,77,82
	Ticket 3: 
6,10,_,_,49,54,61,_,_
_,19,20,31,_,55,66,_,_
9,_,27,37,_,_,67,73,_

Card 2
	Ticket 1: 
_,_,24,30,41,_,_,77,90
2,_,26,31,42,_,62,_,_
6,_,27,34,48,_,69,_,_
	Ticket 2: 
_,_,22,_,41,57,_,73,81
7,_,25,32,43,_,_,_,84
_,17,_,35,44,58,_,79,_
	Ticket 3: 
_,13,25,30,_,53,_,_,84
_,15,26,32,_,54,64,_,_
_,_,28,39,_,57,65,71,_

Card 3
	Ticket 1: 
_,_,26,30,_,50,_,75,81
7,11,_,31,_,56,67,_,_
_,19,_,34,_,58,_,78,83
	Ticket 2: 
_,10,_,31,_,52,60,74,_
3,14,_,_,44,_,61,_,82
6,_,28,36,_,_,64,76,_
	Ticket 3: 
_,13,_,38,_,53,60,_,81
2,16,_,_,_,56,64,_,84
5,19,20,_,_,_,68,_,86

Card 4
	Ticket 1: 
_,10,21,31,_,58,_,74,_
_,15,24,32,_,_,61,_,85
_,18,26,38,_,_,66,78,_
	Ticket 2: 
_,11,22,33,_,_,65,76,_
_,_,27,34,40,_,66,_,84
9,_,_,36,44,_,67,_,87
	Ticket 3: 
_,_,22,_,44,_,63,75,88
4,_,25,_,_,_,68,77,90
5,11,27,33,_,_,_,78,_

Card 5
	Ticket 1: 
1,10,_,31,_,_,60,78,_
8,_,_,33,49,54,_,_,83
_,14,_,_,_,57,67,79,87
	Ticket 2: 
6,_,22,30,_,54,60,_,_
_,14,24,_,42,55,69,_,_
7,_,28,32,_,56,_,_,87
	Ticket 3: 
2,_,_,34,_,_,61,72,85
_,11,_,_,_,58,65,73,90
_,19,27,_,43,_,68,74,_

Card 6
	Ticket 1: 
_,_,_,33,47,58,60,70,_
_,12,24,34,_,_,61,72,_
6,18,_,_,_,_,62,78,85
	Ticket 2: 
1,12,21,_,_,_,_,72,83
_,_,22,_,44,58,_,74,85
_,18,26,34,48,_,60,_,_
	Ticket 3: 
_,11,23,32,_,_,_,70,81
_,16,_,_,44,_,63,75,83
_,_,_,35,46,57,68,_,89

Card 7
	Ticket 1: 
6,13,_,34,40,_,_,70,_
_,_,22,35,44,_,68,_,88
_,14,24,38,_,52,_,72,_
	Ticket 2: 
_,16,_,_,44,52,67,_,84
4,_,_,32,46,53,69,_,_
7,_,21,35,_,_,_,79,90
	Ticket 3: 
_,18,_,32,_,_,60,77,82
1,_,25,33,44,_,63,_,_
3,_,_,35,_,55,66,_,83

Card 8
	Ticket 1: 
_,15,_,35,_,_,62,72,84
9,_,21,_,_,56,63,77,_
_,16,_,36,47,_,64,78,_
	Ticket 2: 
1,12,_,_,41,_,68,72,_
7,15,_,_,44,54,_,75,_
9,17,24,_,46,_,_,79,_
	Ticket 3: 
1,15,_,_,45,50,62,_,_
_,_,20,_,48,56,68,_,90
7,17,23,33,_,58,_,_,_

Card 9
	Ticket 1: 
7,14,_,30,_,_,63,_,83
_,18,26,_,_,_,68,70,88
