200 tickets
Ticket 1:
_,17,25,_,_,_,65,76,87
2,_,27,35,_,_,69,78,_
6,_,28,37,45,52,_,_,_
Ticket 2:
8,14,_,_,41,_,_,78,84
_,16,26,_,47,_,64,_,85
_,_,28,30,_,54,66,_,86
Ticket 3:
_,15,23,37,46,_,_,_,80
1,17,27,_,_,_,60,_,89
2,18,_,_,48,_,69,78,_
Ticket 4:
_,11,21,_,48,55,60,_,_
_,19,22,36,_,56,62,_,_
_,_,25,38,_,59,64,_,_
Ticket 5:
_,13,_,_,_,51,60,_,82
2,18,_,_,_,57,64,71,_
5,_,24,_,_,_,65,72,89
Ticket 6:
_,16,27,36,_,_,66,70,_
3,_,28,_,_,51,_,75,80
_,_,_,_,45,56,67,79,88
Ticket 7:
_,12,_,35,_,_,63,70,81
_,17,21,36,_,52,68,_,_
9,_,_,37,_,55,_,79,83
Ticket 8:
3,_,_,_,47,51,60,_,85
8,12,28,31,_,_,_,71,_
_,18,_,36,_,53,64,73,_
Ticket 9:
4,13,24,_,41,50,_,_,_
_,_,_,39,_,52,67,70,86
_,16,_,_,42,59,_,74,89
Ticket 10:
5,_,21,_,44,54,61,_,_
_,_,23,_,47,57,_,71,80
7,14,27,_,_,58,_,_,84
Ticket 11:
_,11,_,30,_,54,67,_,80
_,12,22,33,40,56,_,_,_
_,_,27,38,46,_,_,_,82
Ticket 12:
5,_,_,30,42,_,_,74,86
6,_,22,31,49,_,_,76,_
_,_,24,39,_,_,60,77,87
Ticket 13:
1,_,_,30,42,50,65,_,_
_,_,_,35,_,54,66,76,80
_,14,20,36,_,58,_,77,_
Ticket 14:
_,_,25,_,_,53,62,75,_
1,_,_,35,41,54,_,78,_
3,_,_,_,45,57,69,79,_
Ticket 15:
_,15,26,34,_,_,_,71,84
5,_,_,38,42,_,66,73,_
_,17,27,_,44,52,_,_,89
Ticket 16:
2,11,_,_,_,57,64,_,80
_,12,_,_,40,_,67,71,84
_,18,23,36,43,_,_,75,_
Ticket 17:
3,_,22,_,_,50,64,_,84
5,19,_,31,_,55,_,_,87
7,_,25,37,_,_,66,70,_
Ticket 18:
_,14,24,30,_,54,_,_,85
_,15,29,38,_,_,65,74,_
8,_,_,39,_,57,_,78,87
Ticket 19:
7,15,_,_,40,50,_,_,80
_,_,_,31,44,57,66,74,_
_,_,_,34,49,59,_,77,89
Ticket 20:
_,_,28,35,_,_,66,71,84
3,15,_,_,47,_,_,73,85
4,_,_,_,48,53,_,78,89
Ticket 21:
_,_,27,34,47,_,62,_,80
3,_,_,_,48,51,68,72,_
7,11,_,39,_,57,_,_,83
Ticket 22:
_,10,_,32,_,54,61,70,_
3,_,_,36,47,56,_,73,_
_,_,26,37,_,_,67,76,80
Ticket 23:
7,12,25,30,_,_,_,_,80
8,17,_,33,_,55,_,_,86
_,_,28,35,42,_,_,78,88
Ticket 24:
2,_,24,32,40,_,61,_,_
3,15,25,34,_,_,69,_,_
4,17,_,_,43,_,_,77,88
Ticket 25:
_,_,23,36,_,_,69,73,80
3,_,26,_,_,55,_,79,85
4,_,29,39,43,58,_,_,_
Ticket 26:
_,15,_,_,_,53,61,76,_
5,_,_,38,_,58,64,_,88
_,16,25,_,47,59,_,77,_
Ticket 27:
_,10,20,_,_,53,61,70,_
_,_,25,32,46,_,65,71,_
3,_,29,34,_,58,_,79,_
Ticket 28:
1,_,21,36,40,51,_,_,_
8,10,29,_,_,_,64,_,80
_,19,_,38,_,53,69,72,_
Ticket 29:
2,13,23,_,_,54,60,_,_
_,_,_,_,45,56,63,72,82
6,19,_,_,_,59,68,74,_
Ticket 30:
_,13,_,34,46,55,_,72,_
1,14,29,_,_,_,66,_,81
6,17,_,36,_,_,69,_,85
Ticket 31:
_,13,21,38,_,51,62,_,_
_,_,27,_,41,_,67,77,_
1,15,_,_,_,_,69,78,80
Ticket 32:
6,_,27,37,_,_,_,75,81
9,_,_,_,40,50,_,79,83
_,_,_,38,46,59,60,_,85
Ticket 33:
1,14,_,32,_,_,_,73,87
6,15,_,36,46,56,_,_,_
7,17,27,37,_,57,_,_,_
Ticket 34:
_,_,_,35,44,50,_,72,80
_,11,_,_,46,51,_,73,85
_,16,_,_,47,54,66,_,89
Ticket 35:
2,13,_,_,_,54,60,_,84
7,15,_,_,_,_,66,73,86
_,18,21,_,_,59,67,_,88
Ticket 36:
2,18,_,_,_,52,65,_,87
3,_,_,36,_,58,66,73,_
7,19,28,37,43,_,_,_,_
Ticket 37:
3,11,_,34,_,_,_,71,81
5,14,_,_,41,59,61,_,_
6,17,_,39,_,_,64,75,_
Ticket 38:
5,15,21,39,_,_,64,_,_
_,_,26,_,46,55,69,_,81
6,18,_,_,47,_,_,75,84
Ticket 39:
_,11,25,35,_,54,61,_,_
_,_,26,38,_,56,67,70,_
_,_,_,_,_,57,69,71,89
Ticket 40:
_,_,_,33,42,56,62,76,_
_,11,21,35,44,_,_,_,83
_,14,29,38,49,_,69,_,_
Ticket 41:
6,12,_,38,41,_,_,_,83
9,_,_,_,_,54,69,74,85
_,13,20,_,44,_,_,76,89
Ticket 42:
_,_,_,31,_,50,65,76,_
6,11,_,33,_,_,_,78,84
8,19,_,38,44,_,_,79,_
Ticket 43:
8,_,_,_,43,50,61,_,80
_,_,20,36,_,_,63,79,81
_,16,_,_,48,57,67,_,84
Ticket 44:
1,10,23,_,_,_,61,_,84
_,17,25,31,_,_,62,_,88
_,_,26,39,46,52,66,_,_
Ticket 45:
8,19,21,_,_,_,60,70,_
_,_,26,30,49,_,_,71,88
_,_,27,35,_,_,63,73,89
Ticket 46:
_,_,21,31,_,55,65,72,_
4,_,25,32,48,_,_,74,_
